Investor,DealsCount,TotalInvestment,AvgInvestment,StdDevInvestment,Cluster
1Crowd,1,600000,600000.0,0.0,0
1Crowd (through crowd funding),1,200000,200000.0,0.0,0
1Crowd (through crowdfunding),1,209000,209000.0,0.0,0
"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",1,700000,700000.0,0.0,0
3 undisclosed HNIs,1,2000000,2000000.0,0.0,0
500 Startups,1,125000,125000.0,0.0,0
"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",1,400000,400000.0,0.0,0
"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",1,770000,770000.0,0.0,0
50K Ventures,1,200000,200000.0,0.0,0
91maker.com,1,300000,300000.0,0.0,0
A M Sikander,1,45000,45000.0,0.0,0
"AB Kinnevik, Falcon Edge Capital, Coatue Management",1,60000000,60000000.0,0.0,0
ABI-Showatech (India) Ltd,1,600000,600000.0,0.0,0
ABM Knowledgeware,1,2200000,2200000.0,0.0,0
ADAG Reliance Private Equity,1,12000000,12000000.0,0.0,0
APIS Partners,1,35000000,35000000.0,0.0,0
ASK Pravi,1,5000000,5000000.0,0.0,0
Aarin Capital,1,220000,220000.0,0.0,0
"Aarin Capital Partners, TV Mohandas Pai",1,500000,500000.0,0.0,0
"Aarin Capital, Michael Herzig, Ashish Lakhanpal",1,750000,750000.0,0.0,0
"Aarin Capital, Unitus Seed Fund",1,3000000,3000000.0,0.0,0
Aarti Group,1,100000,100000.0,0.0,0
Aavishkaar,2,10000000,5000000.0,0.0,0
Aavishkaar Venture Management,1,1000000,1000000.0,0.0,0
"Abhinav Bindra, Gaurav Marya",1,1000000,1000000.0,0.0,0
"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",1,595000,595000.0,0.0,0
Abhishek Gupta,1,1200000,1200000.0,0.0,0
Abraaj Group,1,150000000,150000000.0,0.0,0
Accel Partners,6,31700000,5283333.333333333,3762534.6067068493,0
Accel Partners India,2,5650000,2825000.0,2227386.3607376246,0
"Accel Partners India, RB Investments",1,3500000,3500000.0,0.0,0
"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",1,5800000,5800000.0,0.0,0
"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",1,2500000,2500000.0,0.0,0
"Accel Partners, Flipkart",1,6000000,6000000.0,0.0,0
"Accel Partners, Helion Venture Partners",2,15500000,7750000.0,3181980.515339464,0
"Accel Partners, IDG Ventures India",1,5000000,5000000.0,0.0,0
"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",1,5800000,5800000.0,0.0,0
"Accel Partners, IDG Ventures, Kalaari Capital",1,15000000,15000000.0,0.0,0
"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",1,37500000,37500000.0,0.0,0
"Accel Partners, Jungle Ventures, SeedPlus",1,4200000,4200000.0,0.0,0
"Accel Partners, Kalaari Capital",1,5000000,5000000.0,0.0,0
"Accel Partners, Matrix Partners, Girish Mathrubootham",1,1500000,1500000.0,0.0,0
"Accel Partners, Nandan Nilekani,",1,10000000,10000000.0,0.0,0
"Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",1,5500000,5500000.0,0.0,0
"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",1,3000000,3000000.0,0.0,0
"Accel Partners, RB Investments",1,8000000,8000000.0,0.0,0
"Accel Partners, SAIF Partners",1,2000000,2000000.0,0.0,0
"Accel Partners, Shunwei Capital",1,5000000,5000000.0,0.0,0
"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",1,1150000,1150000.0,0.0,0
"Accel Partners, Tiger Global Management",1,5000000,5000000.0,0.0,0
"Accel Partners, Traxcn Labs & Others",1,1300000,1300000.0,0.0,0
"Accel US, Accel India, SAIF Partners.",1,12000000,12000000.0,0.0,0
"Accion Venture Labs, Rianta Capital",1,500000,500000.0,0.0,0
"Accion, LeapFrog Investments, Lok Capital",1,25000000,25000000.0,0.0,0
Acumen Fund,3,2700000,900000.0,804673.8469715541,0
Adroitent Pvt. Ltd.,1,161000,161000.0,0.0,0
Agarwal Movers Group,1,14900000,14900000.0,0.0,0
Agnus Capital,2,8500000,4250000.0,353553.39059327374,0
